hybrid,s2cloudless,cloudscoreplus
0.2520307297895391,0.2831559401113494,0.371659827359463
0.2855964200147948,0.37692719044421613,0.3947175676379217
0.2243796471225985,0.2599005456597858,0.3392153205721975
0.32278568151367076,0.4219788992623832,0.525733116296843
0.32278568151367076,0.3165911233565307,0.36964165375944935
0.29176242721712065,0.42202445505386355,0.3799826410166687
0.32278568151367076,0.39414234677563065,0.525733116296843
0.41274573810871656,0.4316255826851063,0.563294787492874
0.36531660283002965,0.4316255826851063,0.5785104492665278
0.20902852533509675,0.3763072784715493,0.36152656539336636
0.32278568151367076,0.42931768061734743,0.5994305382450315
0.3663220240840106,0.40661128491490695,0.5344558534005329
0.2823272186547277,0.4152365286166151,0.4697471502615687
0.27493386665167324,0.40956112076993745,0.5395990373478988
0.2214747762088003,0.3559968178135722,0.42460537296498235
0.3744790468464626,0.42305330110194495,0.6112148271611583
0.24241185743126367,0.3632325760649539,0.36303965840707536
0.38802819228155866,0.47694833155684463,0.5842596342274079
0.28163222571620933,0.3729286094391041,0.5597355428592594
0.20860324542809083,0.3632325760649539,0.36362576976299943
0.23658566687733842,0.3835910907055793,0.36303965840707536
0.33609475722389365,0.44389162044898295,0.5922749400758506
0.37173923339530573,0.4288666833870172,0.570403208161974
0.35014493203022345,0.3684988916406969,0.5661503728113365
0.3744790468464626,0.44637185008155145,0.5546520762253117
0.26018509372108245,0.3171076405680643,0.44139204719737
0.2228492002659685,0.3875643314179944,0.5463033691547009
0.3417546454536308,0.3965524240644309,0.5765842553405682
0.3417546454536308,0.4112953202230505,0.5580697886878971
0.3564694629846173,0.4308392573729798,0.613995436887951
0.31293621750326067,0.4119361754840861,0.5407951923564293
0.25823496068048635,0.3973702062095078,0.3961949818245289
0.2582558951011723,0.3984076147709286,0.36362576976299943
0.368894007564358,0.42464258606463073,0.563294787492874
0.2627985542094664,0.39414234677563065,0.3763410612288186
0.24052735083964127,0.3847834087651365,0.4109093170152732
0.32278568151367076,0.42202445505386355,0.5308324342699406
0.19441720200515944,0.3763072784715493,0.36362576976299943
0.3971569372638663,0.4506018634156407,0.5463033691547009
0.149538821390458,0.29695113749984087,0.351492810390503
0.3337192508701421,0.3875643314179944,0.5431557872366335
0.23153112900510778,0.3482778297237771,0.44993545116563893
0.32278568151367076,0.3823981968872113,0.43198332347026464
0.2699235906177341,0.3973702062095078,0.3863412097178684
0.4128192528944288,0.4288666833870172,0.5791192426681615
0.20786653849340622,0.2527439242880498,0.2671718428627994
0.2510789102825382,0.40245701704323494,0.400390701445692
0.3468031984837573,0.3982315481499913,0.563294787492874
0.2912162621265374,0.42202445505386355,0.5380227701737187
0.22733125423876,0.447323924635722,0.5851366567562697
0.39167604562003033,0.4119361754840861,0.5851366567562697
0.3630489186758947,0.4341563857654155,0.565224168184601
0.27852634739411275,0.39871964737279453,0.4012192683004207
0.29150157672373983,0.3165911233565307,0.4120066852282406
0.32278568151367076,0.40818594611865255,0.5661503728113365
0.2725372920613955,0.42202445505386355,0.5463033691547009
0.2559457061437739,0.3763072784715493,0.4120066852282406
0.2845601580487878,0.43261466991428577,0.5397790036314631
0.31879880514788617,0.40245701704323494,0.43502356495353156
0.3613957435343139,0.4535114449345716,0.5439382047759092
0.3417546454536308,0.39921884176870415,0.6170589456113313
0.257962451170835,0.3778078588903973,0.36886703716783054
0.3250614119233346,0.4431417816766227,0.5376380642122609
0.38681272961686153,0.4209392142484404,0.6110357811573353
0.281388737281677,0.3751692553096396,0.3671734204027992
0.22708205178967572,0.40507536052412657,0.5507321966095322
0.2178573688879727,0.3482778297237771,0.33200044562969555
0.29791593696919266,0.3928346809615043,0.5488283630932936
0.22107684162571262,0.3248266286578594,0.5407951923564293
0.3661236416992487,0.4089202655089018,0.5576114137866666
0.32278568151367076,0.42464258606463073,0.4522767471092535
0.3620434974219138,0.43411689607171494,0.5765842553405682
0.3524035522440236,0.429210079632565,0.5830416572274897
0.26148005616240394,0.4098077586633347,0.5463033691547009
0.32278568151367076,0.3751692553096396,0.5859536136228414
0.32278568151367076,0.41126855215373614,0.5545138727333655
0.32278568151367076,0.4042122309814141,0.5367120982265339
0.34684130671784974,0.4042122309814141,0.5783545840645674
0.29052078830742156,0.3025305695217796,0.4012192683004207
0.32278568151367076,0.3815056392020525,0.4272954152359901
0.3016365283810008,0.3972911640915345,0.36244069971168497
0.26148005616240394,0.3236270500084501,0.36801789281056346
0.35014493203022345,0.3973702062095078,0.5851366567562697
0.3387818271697648,0.46084689490495184,0.563294787492874
0.32278568151367076,0.4288666833870172,0.565224168184601
0.2929415462878814,0.42181180297991144,0.5169602710402746
0.29391933044021973,0.40956112076993745,0.5055575693608495
0.2845601580487878,0.40245701704323494,0.5569140033282776
0.2559457061437739,0.422865459856547,0.4165989355446047
0.2836968079795235,0.3482778297237771,0.4504947082813648
0.32278568151367076,0.4095326138323428,0.5357317977352563
0.3901746481790014,0.43411689607171494,0.5551785632518191
0.3509098417997065,0.4452658978493472,0.5599060184805302
0.29245595089265974,0.3763072784715493,0.565224168184601
0.32278568151367076,0.4060499772563259,0.4368624981019447
0.3744790468464626,0.4505305720523071,0.5630052889421866
0.270691284709339,0.42324312110071255,0.39878450146840405
0.32722132513074764,0.3972911640915345,0.5407951923564293
0.3276904367513158,0.3972911640915345,0.563294787492874
0.32278568151367076,0.4380065727927521,0.5275457579400878
0.32278568151367076,0.3165911233565307,0.3911520991414412
0.32278568151367076,0.41358950038065245,0.44399851087970155
0.3930690955820356,0.45235861336902833,0.5859536136228414
0.2766341692568196,0.41503734402501363,0.5568687427758594
0.35135691971817506,0.43153291731207805,0.5463033691547009
0.2567012082235985,0.36625456472427503,0.5385040578091191
0.26309741106209206,0.3390650261880403,0.36886703716783054
0.3546151473196145,0.3973702062095078,0.5488283630932936
0.32278568151367076,0.42464258606463073,0.5391505373355171
0.32278568151367076,0.41204657258586375,0.5684476669406215
0.27023244873371033,0.3778078588903973,0.3863412097178684
0.32278568151367076,0.4323021801606908,0.5170895797566593
0.18915910418952064,0.29791962698779584,0.3677051511983632
0.28826642913266953,0.40757589438984426,0.4558982212620128
0.31290830139900505,0.3655359754860308,0.46951526156173945
0.3417508868116389,0.38043841458397587,0.6094175512068657
0.27304619242471456,0.3815056392020525,0.3961949818245289
0.22733125423876,0.4209392142484404,0.4558982212620128
0.2491023160015023,0.32656730787894883,0.41109094783335504
0.30327850283165164,0.40245701704323494,0.5700421230928785
0.2845601580487878,0.33944251628210487,0.5397790036314631
0.3694042581917933,0.43095225741790666,0.5787369133663645
0.2904337348381043,0.3815056392020525,0.42056373919038964
0.35090483653358584,0.43265731591706913,0.5476752514139511
0.36352574431594875,0.4143039913497798,0.5830416572274897
0.32278568151367076,0.3763072784715493,0.5381837066315511
0.2940452800244383,0.40245701704323494,0.525733116296843
0.23048265699996845,0.24226071032851715,0.31556458263610465
0.25238309020998173,0.40245701704323494,0.3456307716598759
0.2568497011319852,0.3765204446991509,0.4672586175042889
0.32278568151367076,0.3928346809615043,0.5376380642122609
0.2845601580487878,0.3835910907055793,0.5787369133663645
0.21344729920281744,0.29695113749984087,0.3637703002088085
0.3669306805684677,0.3778078588903973,0.5963636104456617
0.34421263661676116,0.4556777587169394,0.5439382047759092
