hybrid_minus_s2cloudless,hybrid_minus_cloudscoreplus,s2cloudless_minus_cloudscoreplus
-0.09133077042942134,-0.10912114762312691,-0.017790377193705575
-0.03552089853718732,-0.114835673449599,-0.07931477491241168
-0.09919321774871243,-0.2029474347831723,-0.10375421703445986
0.00619455815714004,-0.04685597224577859,-0.05305053040291863
-0.1302620278367429,-0.08822021379954803,0.04204181403719487
-0.07135666526195988,-0.2029474347831723,-0.1315907695212124
-0.018879844576389748,-0.15054904938415742,-0.13166920480776767
-0.06630897985507667,-0.2131938464364982,-0.14688486658142152
-0.16727875313645257,-0.1524980400582696,0.014780713078182961
-0.10653199910367667,-0.2766448567313607,-0.17011285762768402
-0.040289260830896345,-0.16813382931652232,-0.12784456848562598
-0.13290930996188738,-0.187419931606841,-0.05451062164495363
-0.1346272541182642,-0.2646651706962256,-0.13003791657796138
-0.13452204160477188,-0.20313059675618206,-0.06860855515141018
-0.04857425425548234,-0.23673578031469567,-0.18816152605921332
-0.12082071863369023,-0.12062780097581169,0.0001929176578785441
-0.08892013927528597,-0.19623144194584924,-0.10731130267056327
-0.09129638372289478,-0.2781033171430501,-0.1868069334201553
-0.15462933063686307,-0.1550225243349086,-0.0003931936980455242
-0.14700542382824086,-0.12645399152973694,0.020551432298503924
-0.1077968632250893,-0.25618018285195693,-0.14838331962686763
-0.05712744999171149,-0.19866397476666825,-0.14153652477495676
-0.018353959610473425,-0.21600544078111306,-0.19765148117063963
-0.07189280323508884,-0.18017302937884905,-0.1082802261437602
-0.056922546846981836,-0.18120695347628757,-0.12428440662930573
-0.1647151311520259,-0.3234541688887324,-0.1587390377367065
-0.054797778610800096,-0.2348296098869374,-0.1800318312761373
-0.06954067476941966,-0.21631514323426632,-0.14677446846484665
-0.0743697943883625,-0.2575259739033337,-0.1831561795149712
-0.09899995798082545,-0.22785897485316858,-0.12885901687234314
-0.13913524552902146,-0.13796002114404254,0.0011752243849789124
-0.14015171966975631,-0.10536987466182712,0.03478184500792919
-0.05574857850027276,-0.194400779928516,-0.13865220142824325
