scene_id,algorithm,TP,TN,FP,FN,balanced_accuracy,precision,recall,f1_score,iou,mcc,FPR,FNR,cloud_fraction
202408,cloudscoreplus,11291,13731872,11365,1004,0.9587569183719258,0.4983668785310734,0.918340788938593,0.6461045463649109,0.4772189349112426,0.67615932153326,0.0008269521947413117,0.08165921106140707,0.0016470464392071495
202505,cloudscoreplus,8044814,4855538,836716,18464,0.9253590386485271,0.9057914571025488,0.9977101124381424,0.9495314434958484,0.9039122947723336,0.8759854012789283,0.14699203514108822,0.002289887561857597,0.6456696840223991
202506,cloudscoreplus,3759368,9004379,770895,220890,0.9328209347176286,0.8298343826837427,0.9445035975054883,0.8834636563378435,0.7912538282812615,0.835231969276005,0.07886172807023108,0.05549640249451166,0.3293411697926332
202507,cloudscoreplus,2988121,9763124,980414,23873,0.9504089317540699,0.7529531678566523,0.9920740213957929,0.8561302445702897,0.7484508096366904,0.8222386136625189,0.09125615788765302,0.007925978604207047,0.2885046539821215
202508,cloudscoreplus,172066,13231553,309214,42699,0.8891734531499622,0.3575174534574468,0.801182688054385,0.4944105625354683,0.3283833894106443,0.5251370413017281,0.022835781754460438,0.19881731194561497,0.03498810514925922
202004,s2cloudless,2405133,9041659,1793211,515529,0.8289926483282318,0.5728765913417291,0.8234889898249096,0.6756934886696261,0.5102243950993164,0.5843386551580676,0.16550369316844596,0.17651101017509044,0.3052113142552393
202007,s2cloudless,1238448,11296577,978424,242083,0.8783902003989443,0.5586465975482572,0.8364890704753902,0.6699015498175341,0.5036480944140905,0.6378835455693326,0.07970866967750145,0.16351092952460974,0.16116221459119137
202008,s2cloudless,158442,13270600,296058,30432,0.9085271202576654,0.3486072607260726,0.8388767114584326,0.49253466879295715,0.3267303456979535,0.5319414134171728,0.02182247094310183,0.1611232885415674,0.03304125205771758
202009,s2cloudless,673158,11981429,1027094,73851,0.9110911354727731,0.3959166053032139,0.9011377372963378,0.5501317595466932,0.3794356922906956,0.5661085592615369,0.0789554663507917,0.0988622627036622,0.12360496126213076
202104,s2cloudless,7503888,2357128,3175060,719456,0.6692928556881865,0.7026804512953898,0.912510530995663,0.7939659380989353,0.6583279553874385,0.3984214358653985,0.5739248196192899,0.08748946900433692,0.7763384215165215
202106,s2cloudless,1057560,11522866,1080464,94642,0.9160657174230256,0.4946436522695723,0.9178598891513814,0.642849457757613,0.47367586553474633,0.6362621907973186,0.08572845430533042,0.08214011084861855,0.15543012076886595
202108,s2cloudless,13312903,182043,224329,36257,0.7226276329370174,0.9834287393464188,0.9972839489525933,0.9903078851189852,0.9808018410004974,0.6032622061920622,0.5520286830785586,0.0027160510474067284,0.9841300212888895
202110,s2cloudless,979189,10968319,1382121,425903,0.792488697826017,0.4146804104501315,0.6968860402023498,0.5199598980671739,0.35131473626163484,0.4698008938304847,0.11190864455031561,0.30311395979765027,0.17166257182928293
202405,s2cloudless,7941548,3219584,1860004,734396,0.7745901973283033,0.8102337262506999,0.9153526117734277,0.8595913645442002,0.7537573268205197,0.5856295479127799,0.3661722171168213,0.08464738822657224,0.7125534657619931
202406,s2cloudless,5421002,5555398,1896548,882584,0.8027416374784604,0.7408219964332324,0.8599869978770814,0.7959691467730738,0.6610870017489958,0.6046069201303157,0.2545037229201607,0.14001300212291862,0.531971427931686
202408,s2cloudless,11520,13716953,26284,775,0.9675268710656706,0.3047296582372236,0.936966246441643,0.4598894189504781,0.2986080510122087,0.5337469252896248,0.0019125043103018597,0.06303375355835705,0.0027482761117490766
202505,s2cloudless,8038518,4617236,1075018,24760,0.9040364968360297,0.8820416137051524,0.996929288559814,0.9359731088664056,0.8796517425130462,0.8416910459149382,0.1888562948877545,0.003070711440185989,0.6625360618549686
202506,s2cloudless,3763053,8136539,1638735,217205,0.8888942958392319,0.6966310044007651,0.9454294168870461,0.8021817415945307,0.6697023826155327,0.7222246406934308,0.1676408252085824,0.054570583112953985,0.3926993154463237
202507,s2cloudless,2926680,8911904,1831634,85314,0.900594100852953,0.615066597118223,0.9716752423809609,0.753298324854047,0.604233025327296,0.6965536752515776,0.1704870406750551,0.028324757619039083,0.3459200269389799
202508,s2cloudless,163679,13083486,457281,51086,0.8641800071506643,0.2635902473589281,0.7621307009987661,0.39170540548625443,0.24355326867506094,0.4349203271352648,0.03377068669743745,0.2378692990012339,0.04514256518759144
202004,hybrid,985664,10624194,210676,1934998,0.6590176981469408,0.8238995603256599,0.3374796535853858,0.47882609724260516,0.3147740678265968,0.46155110918682735,0.01944425729150419,0.6625203464146142,0.0869715544262483
202007,hybrid,491725,12101807,173194,988806,0.6590089849946799,0.7395261678490161,0.33212745967494095,0.4583886830268708,0.29734387519085703,0.45952253942433435,0.014109489685581289,0.667872540325059,0.04833829763908804
202008,hybrid,0,13566658,0,188874,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202009,hybrid,141216,12957405,51118,605793,0.5925561607694656,0.734222758326661,0.1890418990935852,0.30066972341306636,0.17693424730650636,0.35727543474657725,0.003929577554653976,0.8109581009064147,0.013982301811373053
202104,hybrid,7194620,2628667,2903521,1028724,0.675030319833234,0.7124697506204359,0.8749019863452143,0.7853752029379715,0.6465990195800884,0.3885165871358451,0.5248413466787463,0.1250980136547857,0.7341149000998289
202106,hybrid,347648,12493791,109539,804554,0.6465167983554245,0.7604065732402715,0.30172487115974456,0.43202482432774175,0.2755303980769429,0.452875313488473,0.008691274448895649,0.6982751288402554,0.03323659164909071
202108,hybrid,9451083,397703,8669,3898077,0.8433290846575299,0.9990835911977396,0.7079908398730707,0.8287184412829511,0.7075313660625541,0.2508814536572263,0.021332670558010886,0.29200916012692935,0.6877052810462002
202110,hybrid,17317,12342771,7669,1387775,0.5058517551779986,0.6930681181461619,0.012324459893017682,0.02421825942361186,0.012257558072455285,0.08323720099796038,0.0006209495370205434,0.9876755401069823,0.0018164328358946785
202405,hybrid,6024023,4554576,525012,2651921,0.7954895575952875,0.9198336854208292,0.694336316601398,0.7913341621029494,0.6547170750517664,0.5710761026903631,0.10335720141082308,0.30566368339860195,0.47610190576416817
202406,hybrid,2561237,7186091,265855,3742349,0.6853191814127544,0.905961673691553,0.4063142788882392,0.5610179222178243,0.3898713756619475,0.457014524414992,0.03567591606273046,0.5936857211117609,0.20552400299748494
202408,hybrid,0,13743237,0,12295,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202505,hybrid,7970887,4873093,819161,92391,0.9223168686370053,0.9068081311956431,0.9885417568388439,0.9459126346929977,0.8973759346954142,0.8661437181002698,0.1439080195648332,0.011458243161156047,0.6390191233606959
202506,hybrid,2842997,9511793,263481,1137261,0.8436603647903962,0.9151833684320314,0.7142745520516509,0.8023431379410775,0.6699273918589244,0.7454008236796781,0.02695382247085862,0.2857254479483491,0.22583481322278193
202507,hybrid,1918319,10559038,184500,1093675,0.8098601266247778,0.9122606367928006,0.6368933669854588,0.7501032784580786,0.6001322073496775,0.7121671410595402,0.017173113735903387,0.3631066330145412,0.152870786822349
202508,hybrid,34946,13533185,7582,179819,0.5810787250173538,0.8217174567343868,0.16271738877377598,0.2716436125351253,0.15716874974701706,0.3621066587545519,0.0005599387390684737,0.837282611226224,0.003091701578681217
